Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mfjs01,5,6,468,403,33673,4478,468,OPTIMAL,0.3
mfjs02,5,7,446,396,34021,3891,446,OPTIMAL,0.28
mfjs03,6,7,466,396,52989,4992,466,OPTIMAL,0.37
mfjs04,7,7,554,496,101173,8427,554,OPTIMAL,0.72
mfjs05,7,7,514,414,87544,7479,514,OPTIMAL,0.59
mfjs06,8,7,635,614,166153,12708,634,OPTIMAL,1.18
mfjs07,8,7,879,764,364118,23692,879,OPTIMAL,4.81
