Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mk01,10,6,42,36,46677,4912,40,OPTIMAL,0.15
mk02,10,6,32,24,90943,4253,26,OPTIMAL,1674.14
mk03,15,8,211,204,2447837,74098,204,OPTIMAL,8.79
mk04,15,8,81,48,175013,16406,60,OPTIMAL,6.05
mk05,15,4,186,168,709757,45468,181,TIME_OUT,4800.36
mk06,10,10,86,33,734242,26410,58,TIME_OUT,4800.21
mk07,20,5,157,133,1239487,39551,153,TIME_OUT,4801.3
mk08,20,10,528,523,4128137,275138,524,TIME_OUT,4800.37
