Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mk01.txt,10,6,42,36,38675,5701,40,OPTIMAL,0.16
mk02.txt,10,6,32,24,44200,5482,26,OPTIMAL,2713.17
mk03.txt,15,8,211,204,1736028,80265,204,OPTIMAL,23.27
mk04.txt,15,8,81,48,152735,17922,60,OPTIMAL,9.65
