Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mt10c1,10,11,927,655,2459957,130599,927,OPTIMAL,96.44
mt10cc,10,12,910,655,2355647,125509,908,OPTIMAL,35.64
mt10x,10,11,918,655,2404634,127899,918,OPTIMAL,54.11
mt10xx,10,12,918,655,2404939,127959,918,OPTIMAL,43.84
mt10xxx,10,13,918,655,2405314,127999,918,OPTIMAL,47.42
