Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
mt10c1,10,11,927,655,2464118,130599,927,OPTIMAL,94.97
mt10cc,10,12,910,655,2362831,125509,908,OPTIMAL,43.61
mt10x,10,11,918,655,2408327,127899,918,OPTIMAL,60.97
mt10xx,10,12,918,655,2412325,127959,918,OPTIMAL,56.56
mt10xxx,10,13,918,655,2416393,127999,918,OPTIMAL,78.02
mt10xy,10,12,905,655,2332394,124009,905,OPTIMAL,56.24
mt10xyz,10,13,847,655,1978482,106619,847,OPTIMAL,32.43
setb4c9,15,11,914,857,3617309,188582,914,OPTIMAL,245.63
setb4cc,15,12,909,857,3575526,186347,907,OPTIMAL,195.1
