Problem,Số job,số máy,Upper bound,Lower bound,Number of clause,Number of variable,Makespan,Status,Runtime
abz5,10,10,1176,859,3458283,127596,1167,OPTIMAL,29.49
abz6,10,10,925,742,2207590,105280,925,OPTIMAL,9.97
abz7,20,15,638,492,3096798,250740,-1,TIME_OUT,4800.89
abz8,20,15,654,506,3197173,255461,-1,TIME_OUT,4800.34
abz9,20,15,668,497,3407234,274396,668,TIME_OUT,4800.35
car1,11,5,6176,5005,97864772,668811,6176,OPTIMAL,1629.01
car2,13,4,6455,5929,109621204,746230,-1,TIME_OUT,4972.39
car3,12,5,6856,5597,126837916,842435,6856,OPTIMAL,2630.5
